,ExpressId,GlobalId,Class,PredefinedType,Name,Level,x_coordinate,y_coordinate,z_coordinate,Type,Material,SPOT_IFC.Inhoud,Qto_SpaceBaseQuantities.GrossVolume,Pset_BuildingSystemCommon.Reference,Pset_AirSideSystemInformation.id,Pset_SpaceCommon.id,Pset_BuildingCommon.NumberOfStoreys,Pset_SpaceCommon.IsExternal,Qto_SpaceBaseQuantities.Height,Pset_BuildingElementProxyCommon.Reference,Pset_SpaceHeaterTypeCommon.Reference,Pset_BuildingStoreyCommon.Reference,Pset_SiteCommon.id,Pset_BuildingStoreyCommon.id,Qto_SpaceBaseQuantities.NetVolume,Pset_SpaceHeaterTypeCommon.id,Pset_AirSideSystemInformation.Name,Pset_BuildingStoreyCommon.AboveGround,Pset_BuildingCommon.id,Pset_BuildingSystemCommon.id,Pset_SpaceCommon.Reference,Pset_BuildingCommon.Reference,SPOT_IFC.Oppervlakte,Pset_BuildingCommon.IsLandmarked,Pset_BuildingElementProxyCommon.id,Qto_SpaceBaseQuantities.id,Pset_BuildingElementProxyCommon.IsExternal,SPOT_IFC.id,Pset_SiteCommon.Reference
4783,982083,2nyX1YPDX1rPAukSskC5s1,IfcSpace,SPACE,technische ruimte A1-82,,-5913.808671306053,99292.51637243737,44150.0,technische ruimte A1-82,,,2.01448416000196,,982185.0,982187.0,,False,2438.4,,technische ruimte 9443,,,,2.0144841600019636,982188.0,technische ruimte,,,,technische ruimte 9443,,0.8261500000008037,,,982198.0,,982190.0,
4784,982210,2nyX1YPDX1rPAukSskC5sB,IfcSpace,SPACE,esco A1-82,,-5913.808671306053,99292.51637243737,44150.0,esco A1-82,,,0.7322515199990338,,982288.0,982290.0,,False,2438.4,,esco 9444,,,,0.7322515199990342,982291.0,esco,,,,esco 9444,,0.3002999999996037,,,982301.0,,982293.0,
4785,982313,2nyX1YPDX1rPAukSskC5sp,IfcSpace,SPACE,esco A1-81,,-5913.808671306053,99292.51637243737,44150.0,esco A1-81,,,0.7322515199990692,,982391.0,982393.0,,False,2438.4,,esco 9445,,,,0.7322515199990672,982394.0,esco,,,,esco 9445,,0.30029999999961826,,,982404.0,,982396.0,
4786,982416,2nyX1YPDX1rPAukSskC5sx,IfcSpace,SPACE,technische ruimte A1-81,,-5913.808671306053,99292.51637243737,44150.0,technische ruimte A1-81,,,2.0144841600020085,,982494.0,982496.0,,False,2438.4,,technische ruimte 9446,,,,2.0144841600020063,982497.0,technische ruimte,,,,technische ruimte 9446,,0.8261500000008235,,,982507.0,,982499.0,
4787,982519,2nyX1YPDX1rPAukSskC5sZ,IfcSpace,SPACE,esco A1-84,,-5913.808671306053,99292.51637243737,44150.0,esco A1-84,,,0.9197644799987716,,982617.0,982619.0,,False,2438.4,,esco 9447,,,,0.9197644799987731,982620.0,esco,,,,esco 9447,,0.3771999999994962,,,982630.0,,982622.0,
4788,982642,3yPX_PEAX6tgen7cQG9Ppv,IfcSpace,SPACE,berging A2-75,,-5913.808671306053,99292.51637243737,46150.0,berging A2-75,,,5.863620480006806,,982786.0,982788.0,,False,2438.4,,berging 9448,,,,5.863620480006818,982789.0,berging,,,,berging 9448,,2.4047000000027907,,,982799.0,,982791.0,
4789,982811,3yPX_PEAX6tgen7cQG9Pw1,IfcSpace,SPACE,meterkast A2-70,,-5913.808671306053,99292.51637243737,43150.0,meterkast A2-70,,,1.0128036897886072,,982907.0,982909.0,,False,2438.4,,meterkast 9449,,,,1.0128036897851287,982910.0,meterkast,,,,meterkast 9449,,0.41535584390936975,,,982920.0,,982912.0,
4790,982932,2nyX1YPDX1rPAukSskC5u3,IfcSpace,SPACE,meterkast A1-93,,-5913.808671306053,99292.51637243737,47150.0,meterkast A1-93,,,0.7398105599958301,,983030.0,983032.0,,False,2438.4,,meterkast 9450,,,,0.739810559995829,983033.0,meterkast,,,,meterkast 9450,,0.30339999999828987,,,983043.0,,983035.0,
4791,983055,2nyX1YPDX1rPAukSskC5uc,IfcSpace,SPACE,technische ruimte A1-92,,-5913.808671306053,99292.51637243737,47150.0,technische ruimte A1-92,,,2.0794675200022263,,983145.0,983147.0,,False,2438.4,,technische ruimte 9451,,,,2.079467520002232,983148.0,technische ruimte,,,,technische ruimte 9451,,0.8528000000009129,,,983158.0,,983150.0,
4792,983170,2nyX1YPDX1rPAukSskC5uk,IfcSpace,SPACE,esco A1-92,,-5913.808671306053,99292.51637243737,47150.0,esco A1-92,,,0.7322515199988202,,983248.0,983250.0,,False,2438.4,,esco 9452,,,,0.7322515199988214,983251.0,esco,,,,esco 9452,,0.3002999999995161,,,983261.0,,983253.0,
4793,983273,2nyX1YPDX1rPAukSskC5vM,IfcSpace,SPACE,meterkast A1-92,,-5913.808671306053,99292.51637243737,47150.0,meterkast A1-92,,,0.7798004295901896,,983351.0,983353.0,,False,2438.4,,meterkast 9453,,,,0.7798004295901863,983354.0,meterkast,,,,meterkast 9453,,0.31980004494348324,,,983364.0,,983356.0,
4794,983376,2nyX1YPDX1rPAukSskC5vU,IfcSpace,SPACE,meterkast A1-91,,-5913.808671306053,99292.51637243737,47150.0,meterkast A1-91,,,0.884407680001231,,983474.0,983476.0,,False,2438.4,,meterkast 9454,,,,0.8844076800012323,983477.0,meterkast,,,,meterkast 9454,,0.36270000000050484,,,983487.0,,983479.0,
4795,983499,2nyX1YPDX1rPAukSskC5v6,IfcSpace,SPACE,esco A1-91,,-5913.808671306053,99292.51637243737,47150.0,esco A1-91,,,0.919764479998725,,983597.0,983599.0,,False,2438.4,,esco 9455,,,,0.919764479998725,983600.0,esco,,,,esco 9455,,0.37719999999947706,,,983610.0,,983602.0,
4796,983622,2nyX1YPDX1rPAukSskC5vC,IfcSpace,SPACE,esco A1-90,,-5913.808671306053,99292.51637243737,47150.0,esco A1-90,,,0.9197644799987588,,983720.0,983722.0,,False,2438.4,,esco 9456,,,,0.9197644799987553,983723.0,esco,,,,esco 9456,,0.37719999999949094,,,983733.0,,983725.0,
